time size collisions
36 100000 0
94 200000 0
160 300000 0
230 400000 0
306 500000 0
390 600000 0
471 700000 0
557 800000 0
645 900000 0
735 1000000 0
827 1100000 0
918 1200000 0
1013 1300000 0
1111 1400000 0
1206 1500000 0
1303 1600000 0
1404 1700000 0
1505 1800000 0
1606 1900000 0
1709 2000000 0
1813 2100000 0
1918 2200000 0
2023 2300000 0
2128 2400000 0
2234 2500000 0
2339 2600000 0
2445 2700000 0
2550 2800000 0
2662 2900000 0
2774 3000000 0
2886 3100000 0
2998 3200000 0
3113 3300000 0
3228 3400000 0
3342 3500000 0
3454 3600000 0
3570 3700000 0
3683 3800000 0
3796 3900000 0
3915 4000000 0
4033 4100000 0
4154 4200000 0
4273 4300000 0
4389 4400000 0
4509 4500000 0
4625 4600000 0
4742 4700000 0
4861 4800000 0
4978 4900000 0
5100 5000000 0
5219 5100000 0
5342 5200000 0
5465 5300000 0
5587 5400000 0
5710 5500000 0
5833 5600000 0
5956 5700000 0
6078 5800000 0
6204 5900000 0
6328 6000000 0
6452 6100000 0
6575 6200000 0
6698 6300000 0
6826 6400000 0
6952 6500000 0
7077 6600000 0
7202 6700000 0
7329 6800000 0
7460 6900000 0
7588 7000000 0
7715 7100000 0
7845 7200000 0
7982 7300000 0
8117 7400000 0
8251 7500000 0
8386 7600000 0
8525 7700000 0
8657 7800000 0
8787 7900000 0
8920 8000000 0
9056 8100000 0
9188 8200000 0
9321 8300000 0
9453 8400000 0
9590 8500000 0
9722 8600000 0
9859 8700000 0
9992 8800000 0
10131 8900000 0
10268 9000000 0
10405 9100000 0
10546 9200000 0
10686 9300000 0
10832 9400000 0
10978 9500000 0
11117 9600000 0
11259 9700000 0
11399 9800000 0
11542 9900000 0
11684 10000000 0
11822 10100000 0
11960 10200000 0
12098 10300000 0
12242 10400000 0
12389 10500000 0
12534 10600000 0
12691 10700000 0
12848 10800000 0
12994 10900000 0
13140 11000000 0
13289 11100000 0
13433 11200000 0
13580 11300000 0
13721 11400000 0
13868 11500000 0
14011 11600000 0
14156 11700000 0
14297 11800000 0
14440 11900000 0
14583 12000000 0
14727 12100000 0
14876 12200000 0
15019 12300000 0
15164 12400000 0
15309 12500000 0
15453 12600000 0
15597 12700000 0
15740 12800000 0
15886 12900000 0
16029 13000000 0
16184 13100000 0
16332 13200000 0
16477 13300000 0
16621 13400000 0
16767 13500000 0
16913 13600000 0
17059 13700000 0
17205 13800000 0
17351 13900000 0
17504 14000000 0
17652 14100000 0
17802 14200000 0
17953 14300000 0
18107 14400000 0
18258 14500000 0
18413 14600000 0
18568 14700000 0
18717 14800000 0
18869 14900000 0
19026 15000000 0
19181 15100000 0
19335 15200000 0
19487 15300000 0
19639 15400000 0
19793 15500000 0
19942 15600000 0
20097 15700000 0
20249 15800000 0
20400 15900000 0
20558 16000000 0
20716 16100000 0
20868 16200000 0
21023 16300000 0
21184 16400000 0
21335 16500000 0
21491 16600000 0
21642 16700000 0
21796 16800000 0
21949 16900000 0
22100 17000000 0
22253 17100000 0
22406 17200000 0
22558 17300000 0
22711 17400000 0
22866 17500000 0
23020 17600000 0
23173 17700000 0
23326 17800000 0
23480 17900000 0
23633 18000000 0
23786 18100000 0
23945 18200000 0
24109 18300000 0
24270 18400000 0
24425 18500000 0
24587 18600000 0
24740 18700000 0
24898 18800000 0
25055 18900000 0
25211 19000000 0
25368 19100000 0
25522 19200000 0
25677 19300000 0
25834 19400000 0
25990 19500000 0
26147 19600000 0
26302 19700000 0
26459 19800000 0
26616 19900000 0
26774 20000000 0
26933 20100000 0
27097 20200000 0
27255 20300000 0
27414 20400000 0
27576 20500000 0
27739 20600000 0
27905 20700000 0
28065 20800000 0
28229 20900000 0
28388 21000000 0
28547 21100000 0
28706 21200000 0
28864 21300000 0
29021 21400000 0
29181 21500000 0
29342 21600000 0
29500 21700000 0
29658 21800000 0
29816 21900000 0
29976 22000000 0
30145 22100000 0
30304 22200000 0
30465 22300000 0
30626 22400000 0
30785 22500000 0
30944 22600000 0
31106 22700000 0
31265 22800000 0
31426 22900000 0
31589 23000000 0
31750 23100000 0
31909 23200000 0
32070 23300000 0
32231 23400000 0
32392 23500000 0
32553 23600000 0
32714 23700000 0
32874 23800000 0
33035 23900000 0
33198 24000000 0
33360 24100000 0
33520 24200000 0
33681 24300000 0
33841 24400000 0
34004 24500000 0
34168 24600000 0
34329 24700000 0
34492 24800000 0
34654 24900000 0
34815 25000000 0
34978 25100000 0
35142 25200000 0
35305 25300000 0
35467 25400000 0
35629 25500000 0
35792 25600000 0
35956 25700000 0
36121 25800000 0
36284 25900000 0
36448 26000000 0
36611 26100000 0
36775 26200000 0
36938 26300000 0
37104 26400000 0
37268 26500000 0
37432 26600000 0
37597 26700000 0
37761 26800000 0
37923 26900000 0
38089 27000000 0
38255 27100000 0
38419 27200000 0
38584 27300000 0
38749 27400000 0
38914 27500000 0
39080 27600000 0
39245 27700000 0
39410 27800000 0
39575 27900000 0
39739 28000000 0
39904 28100000 0
40071 28200000 0
40236 28300000 0
40402 28400000 0
40569 28500000 0
40735 28600000 0
40902 28700000 0
41070 28800000 0
41236 28900000 0
41402 29000000 0
41568 29100000 0
41734 29200000 0
41902 29300000 0
42070 29400000 0
42238 29500000 0
42406 29600000 0
42573 29700000 0
42738 29800000 0
42905 29900000 0
43074 30000000 0
43240 30100000 0
43412 30200000 0
43582 30300000 0
43749 30400000 0
43917 30500000 0
44087 30600000 0
44256 30700000 0
44423 30800000 0
44598 30900000 0
44778 31000000 0
44961 31100000 0
45151 31200000 0
45328 31300000 0
45511 31400000 0
45688 31500000 0
45864 31600000 0
46051 31700000 0
46239 31800000 0
46414 31900000 0
46585 32000000 0
46774 32100000 0
46961 32200000 0
47151 32300000 0
47328 32400000 0
47501 32500000 0
