time size collisions
78 100000 0
163 200000 0
248 300000 0
338 400000 0
417 500000 0
499 600000 0
602 700000 0
685 800000 0
766 900000 0
855 1000000 0
933 1100000 0
1008 1200000 0
1082 1300000 0
1204 1400000 0
1279 1500000 0
1354 1600000 0
1429 1700000 0
1504 1800000 0
1578 1900000 0
1653 2000000 0
1729 2100000 0
1807 2200000 0
1883 2300000 0
1958 2400000 0
2034 2500000 0
2109 2600000 0
2183 2700000 0
2346 2800000 0
2421 2900000 0
2496 3000000 0
2574 3100000 0
2653 3200000 0
2731 3300000 0
2807 3400000 0
2883 3500000 0
2959 3600000 0
3035 3700000 0
3114 3800000 0
3192 3900000 0
3270 4000000 0
3349 4100000 0
3427 4200000 0
3504 4300000 0
3580 4400000 0
3657 4500000 0
3733 4600000 0
3809 4700000 0
3886 4800000 0
3964 4900000 0
4040 5000000 0
4115 5100000 0
4190 5200000 0
4266 5300000 0
4344 5400000 0
4424 5500000 0
4683 5600000 0
4758 5700000 0
4833 5800000 0
4908 5900000 0
4985 6000000 0
5062 6100000 0
5139 6200000 0
5217 6300000 0
5295 6400000 0
5373 6500000 0
5451 6600000 0
5530 6700000 0
5609 6800000 0
5688 6900000 0
5766 7000000 0
5844 7100000 0
5922 7200000 0
5999 7300000 0
6076 7400000 0
6153 7500000 0
6230 7600000 0
6308 7700000 0
6386 7800000 0
6466 7900000 0
6546 8000000 0
6625 8100000 0
6704 8200000 0
6779 8300000 0
6856 8400000 0
6934 8500000 0
7013 8600000 0
7091 8700000 0
7169 8800000 0
7247 8900000 0
7324 9000000 0
7402 9100000 0
7482 9200000 0
7561 9300000 0
7639 9400000 0
7718 9500000 0
7797 9600000 0
7876 9700000 0
7954 9800000 0
8032 9900000 0
8111 10000000 0
8188 10100000 0
8267 10200000 0
8346 10300000 0
8424 10400000 0
8503 10500000 0
8580 10600000 0
8657 10700000 0
8733 10800000 0
8812 10900000 0
8889 11000000 0
8966 11100000 0
9406 11200000 0
9480 11300000 0
9554 11400000 0
9629 11500000 0
9704 11600000 0
9779 11700000 0
9853 11800000 0
9927 11900000 0
10003 12000000 0
10077 12100000 0
10152 12200000 0
10226 12300000 0
10302 12400000 0
10376 12500000 0
10451 12600000 0
10526 12700000 0
10600 12800000 0
10676 12900000 0
10752 13000000 0
10827 13100000 0
10903 13200000 0
10978 13300000 0
11053 13400000 0
11129 13500000 0
11205 13600000 0
11280 13700000 0
11356 13800000 0
11431 13900000 0
11508 14000000 0
11583 14100000 0
11659 14200000 0
11735 14300000 0
11810 14400000 0
11886 14500000 0
11961 14600000 0
12039 14700000 0
12115 14800000 0
12191 14900000 0
12267 15000000 0
12343 15100000 0
12420 15200000 0
12497 15300000 0
12574 15400000 0
12651 15500000 0
12727 15600000 0
12804 15700000 0
12882 15800000 0
12960 15900000 0
13036 16000000 0
13111 16100000 0
13189 16200000 0
13266 16300000 0
13343 16400000 0
13421 16500000 0
13498 16600000 0
13576 16700000 0
13653 16800000 0
13731 16900000 0
13809 17000000 0
13887 17100000 0
13967 17200000 0
14045 17300000 0
14121 17400000 0
14197 17500000 0
14274 17600000 0
14350 17700000 0
14426 17800000 0
14503 17900000 0
14580 18000000 0
14659 18100000 0
14739 18200000 0
14818 18300000 0
14897 18400000 0
14976 18500000 0
15056 18600000 0
15134 18700000 0
15212 18800000 0
15291 18900000 0
15370 19000000 0
15449 19100000 0
15529 19200000 0
15608 19300000 0
15687 19400000 0
15765 19500000 0
15845 19600000 0
15924 19700000 0
16004 19800000 0
16085 19900000 0
16164 20000000 0
16243 20100000 0
16320 20200000 0
16399 20300000 0
16480 20400000 0
16557 20500000 0
16635 20600000 0
16713 20700000 0
16789 20800000 0
16866 20900000 0
16942 21000000 0
17021 21100000 0
17100 21200000 0
17177 21300000 0
17255 21400000 0
17332 21500000 0
17408 21600000 0
17485 21700000 0
17561 21800000 0
17638 21900000 0
17714 22000000 0
17790 22100000 0
17867 22200000 0
17944 22300000 0
