time size collisions
150 100000 0
313 200000 0
468 300000 0
702 400000 0
834 500000 0
970 600000 0
1276 700000 0
1401 800000 0
1529 900000 0
1659 1000000 0
1797 1100000 0
2079 1200000 0
2263 1300000 0
2756 1400000 0
2879 1500000 0
3001 1600000 0
3125 1700000 0
3250 1800000 0
3379 1900000 0
3508 2000000 0
3638 2100000 0
3768 2200000 0
3901 2300000 0
4037 2400000 0
4173 2500000 0
4310 2600000 0
4449 2700000 0
5377 2800000 0
6068 2900000 0
6193 3000000 0
6317 3100000 0
6442 3200000 0
6568 3300000 0
6697 3400000 0
6823 3500000 0
6951 3600000 0
7079 3700000 0
7210 3800000 0
7340 3900000 0
7470 4000000 0
7602 4100000 0
7736 4200000 0
7870 4300000 0
8004 4400000 0
8139 4500000 0
8279 4600000 0
8415 4700000 0
8552 4800000 0
8691 4900000 0
8837 5000000 0
8980 5100000 0
9121 5200000 0
9266 5300000 0
9416 5400000 0
9561 5500000 0
11304 5600000 0
11428 5700000 0
11549 5800000 0
11671 5900000 0
11793 6000000 0
11919 6100000 0
12044 6200000 0
12168 6300000 0
12293 6400000 0
12417 6500000 0
12545 6600000 0
12672 6700000 0
12798 6800000 0
12926 6900000 0
13052 7000000 0
13184 7100000 0
13316 7200000 0
13446 7300000 0
13575 7400000 0
13704 7500000 0
13833 7600000 0
13963 7700000 0
14092 7800000 0
14225 7900000 0
14355 8000000 0
14487 8100000 0
14617 8200000 0
14751 8300000 0
