time size collisions
144 100000 0
316 200000 0
425 300000 0
531 400000 0
642 500000 0
755 600000 0
1101 700000 0
1213 800000 0
1331 900000 0
1450 1000000 0
1568 1100000 0
1688 1200000 0
1812 1300000 0
1933 1400000 0
2079 1500000 0
2187 1600000 0
2297 1700000 0
2410 1800000 0
2520 1900000 0
2632 2000000 0
2745 2100000 0
2860 2200000 0
2980 2300000 0
3098 2400000 0
3217 2500000 0
3337 2600000 0
3460 2700000 0
4286 2800000 0
4392 2900000 0
4494 3000000 0
4600 3100000 0
4703 3200000 0
4807 3300000 0
4912 3400000 0
5016 3500000 0
5120 3600000 0
5221 3700000 0
5325 3800000 0
5431 3900000 0
5534 4000000 0
5639 4100000 0
5742 4200000 0
5848 4300000 0
5955 4400000 0
6058 4500000 0
6167 4600000 0
6276 4700000 0
6386 4800000 0
6500 4900000 0
6611 5000000 0
6723 5100000 0
6834 5200000 0
6947 5300000 0
7062 5400000 0
7174 5500000 0
7288 5600000 0
7402 5700000 0
7528 5800000 0
7662 5900000 0
7800 6000000 0
7953 6100000 0
8104 6200000 0
8260 6300000 0
8414 6400000 0
8566 6500000 0
8724 6600000 0
8878 6700000 0
9034 6800000 0
9190 6900000 0
9347 7000000 0
9506 7100000 0
9663 7200000 0
9820 7300000 0
9995 7400000 0
10182 7500000 0
10370 7600000 0
10564 7700000 0
10761 7800000 0
11194 7900000 0
11307 8000000 0
11421 8100000 0
11541 8200000 0
11660 8300000 0
11776 8400000 0
11899 8500000 0
12016 8600000 0
12133 8700000 0
12250 8800000 0
12367 8900000 0
12487 9000000 0
12605 9100000 0
12724 9200000 0
12842 9300000 0
12960 9400000 0
13083 9500000 0
13204 9600000 0
13323 9700000 0
13445 9800000 0
13569 9900000 0
13698 10000000 0
13825 10100000 0
13954 10200000 0
14082 10300000 0
14212 10400000 0
14343 10500000 0
14474 10600000 0
14605 10700000 0
14737 10800000 0
14866 10900000 0
14997 11000000 0
15132 11100000 0
