time size collisions
71 100000 0
125 200000 0
185 300000 0
248 400000 0
289 500000 0
360 600000 0
419 700000 0
463 800000 0
539 900000 0
587 1000000 0
633 1100000 0
672 1200000 0
772 1300000 0
872 1400000 0
907 1500000 0
954 1600000 0
991 1700000 0
1043 1800000 0
1080 1900000 0
1211 2000000 0
1248 2100000 0
1300 2200000 0
1338 2300000 0
1382 2400000 0
1440 2500000 0
1482 2600000 0
1524 2700000 0
1780 2800000 0
1815 2900000 0
1851 3000000 0
1886 3100000 0
1948 3200000 0
1985 3300000 0
2022 3400000 0
2065 3500000 0
2131 3600000 0
2171 3700000 0
2208 3800000 0
2244 3900000 0
2309 4000000 0
2349 4100000 0
2387 4200000 0
2451 4300000 0
2526 4400000 0
2745 4500000 0
2788 4600000 0
2826 4700000 0
2863 4800000 0
2908 4900000 0
2947 5000000 0
3021 5100000 0
3061 5200000 0
3107 5300000 0
3147 5400000 0
3186 5500000 0
3348 5600000 0
3432 5700000 0
3466 5800000 0
3500 5900000 0
3538 6000000 0
3574 6100000 0
3609 6200000 0
3648 6300000 0
3728 6400000 0
3814 6500000 0
3874 6600000 0
3950 6700000 0
4010 6800000 0
4069 6900000 0
4142 7000000 0
4201 7100000 0
4425 7200000 0
4463 7300000 0
4501 7400000 0
4543 7500000 0
4581 7600000 0
4619 7700000 0
4661 7800000 0
4700 7900000 0
4739 8000000 0
4832 8100000 0
4875 8200000 0
4914 8300000 0
4953 8400000 0
4995 8500000 0
5034 8600000 0
5073 8700000 0
5111 8800000 0
5156 8900000 0
5195 9000000 0
5309 9100000 0
5347 9200000 0
5384 9300000 0
5427 9400000 0
5466 9500000 0
5505 9600000 0
5548 9700000 0
5587 9800000 0
5625 9900000 0
5663 10000000 0
5704 10100000 0
